430	-75	-75
430	-50	-87.5
430	-50	-62.5
430	-25	-125
430	-75	-125
430	-50	-137.5
430	-50	-112.5
430	75	-125
430	25	-125
430	50	-137.5
430	50	-112.5
265.9375	100	-75
375.3125	100	-75
322.1875	100	-87.5
319.0625	100	-62.5
275.3125	100	-125
378.4375	100	-125
328.4375	100	-137.5
325.3125	100	-112.5
69.0625	100	-125
172.1875	100	-125
125.3125	100	-137.5
115.9375	100	-112.5
330	-25	-150
330	-75	-150
280	-50	-150
380	-50	-150
130	-25	-150
130	-75	-150
80	-50	-150
180	-50	-150
130	75	-150
130	25	-150
80	50	-150
180	50	-150
92.5	-25	-50
92.5	-75	-50
148.75	-50	-50
36.25	-50	-50
317.5	-25	-50
317.5	-75	-50
373.75	-50	-50
261.25	-50	-50
317.5	75	-50
317.5	25	-50
373.75	50	-50
261.25	50	-50
92.5	75	-50
92.5	25	-50
148.75	50	-50
36.25	50	-50
330	75	-150
330	25	-150
280	50	-150
380	50	-150
47.1875	100	-75
156.5625	100	-75
106.5625	100	-87.5
97.1875	100	-62.5
430	75	-75
430	25	-75
430	50	-87.5
430	50	-62.5
375.3125	-100	-75
265.9375	-100	-75
322.1875	-100	-87.5
319.0625	-100	-62.5
-7.5	-75	-75
-7.5	-25	-75
-1.25	-50	-87.5
-13.75	-50	-62.5
-13.75	-25	-62.5
-1.25	-25	-87.5
-1.25	-75	-87.5
263.59375	-100	-62.5
268.28125	-100	-87.5
376.09375	-100	-87.5
430	25	-62.5
430	25	-87.5
430	75	-87.5
152.65625	100	-62.5
160.46875	100	-87.5
52.65625	100	-87.5
380	25	-150
280	25	-150
280	75	-150
36.25	25	-50
148.75	25	-50
148.75	75	-50
261.25	25	-50
373.75	25	-50
373.75	75	-50
261.25	-75	-50
373.75	-75	-50
373.75	-25	-50
36.25	-75	-50
148.75	-75	-50
148.75	-25	-50
180	25	-150
80	25	-150
80	75	-150
180	-75	-150
80	-75	-150
80	-25	-150
380	-75	-150
280	-75	-150
280	-25	-150
168.28125	100	-112.5
176.09375	100	-137.5
74.53125	100	-137.5
377.65625	100	-112.5
379.21875	100	-137.5
277.65625	100	-137.5
374.53125	100	-62.5
376.09375	100	-87.5
268.28125	100	-87.5
430	25	-112.5
430	25	-137.5
430	75	-137.5
430	-75	-112.5
430	-75	-137.5
430	-25	-137.5
430	-75	-62.5
430	-75	-87.5
430	-25	-87.5
272.96875	-100	-112.5
277.65625	-100	-137.5
379.21875	-100	-137.5
63.59375	-100	-112.5
74.53125	-100	-137.5
176.09375	-100	-137.5
41.71875	-100	-62.5
52.65625	-100	-87.5
160.46875	-100	-87.5
11.25	-25	-112.5
23.75	-25	-137.5
23.75	-75	-137.5
11.25	75	-112.5
23.75	75	-137.5
23.75	25	-137.5
-13.75	75	-62.5
-1.25	75	-87.5
-1.25	25	-87.5
-13.75	25	-62.5
11.25	25	-112.5
11.25	-75	-112.5
152.65625	-100	-62.5
168.28125	-100	-112.5
377.65625	-100	-112.5
430	-25	-62.5
430	-25	-112.5
430	75	-112.5
263.59375	100	-62.5
272.96875	100	-112.5
63.59375	100	-112.5
380	-25	-150
180	-25	-150
180	75	-150
36.25	-25	-50
261.25	-25	-50
261.25	75	-50
36.25	75	-50
380	75	-150
41.71875	100	-62.5
430	75	-62.5
374.53125	-100	-62.5
-13.75	-75	-62.5
30	87.5	-150
-16.875	100	-56.25
-20	-87.5	-50
26.875	-100	-143.75
55	-100	-150
401.875	-100	-50
430	-100	-143.75
430	-87.5	-150
430	87.5	-50
430	100	-143.75
405	100	-150
8.125	100	-50
30	-12.5	-150
8.125	100	-106.25
-20	12.5	-50
1.875	-100	-93.75
255	-100	-150
176.875	-100	-50
430	-100	-93.75
430	12.5	-150
430	-12.5	-50
430	100	-93.75
205	100	-150
233.125	100	-50
205	87.5	-50
205	-12.5	-50
401.875	0	-50
176.875	0	-50
230	87.5	-150
230	-12.5	-150
55	0	-150
255	0	-150
31.5625	100	-100
244.0625	100	-100
228.4375	100	-143.75
215.9375	100	-93.75
430	87.5	-100
430	-12.5	-100
430	0	-143.75
430	0	-93.75
403.4375	-100	-100
190.9375	-100	-100
228.4375	-100	-143.75
215.9375	-100	-93.75
5	-87.5	-100
5	12.5	-100
26.875	0	-143.75
1.875	0	-93.75
30	37.5	-150
-4.375	100	-81.25
-20	-37.5	-50
14.375	-100	-118.75
155	-100	-150
289.375	-100	-50
430	-100	-118.75
430	-37.5	-150
430	37.5	-50
430	100	-118.75
305	100	-150
120.625	100	-50
30	-62.5	-150
20.625	100	-131.25
-20	62.5	-50
-10.625	-100	-68.75
355	-100	-150
64.375	-100	-50
430	-100	-68.75
430	62.5	-150
430	-62.5	-50
430	100	-68.75
105	100	-150
345.625	100	-50
205	37.5	-50
205	-62.5	-50
289.375	0	-50
64.375	0	-50
230	37.5	-150
230	-62.5	-150
155	0	-150
355	0	-150
137.8125	100	-100
350.3125	100	-100
222.1875	100	-118.75
209.6875	100	-68.75
430	37.5	-100
430	-62.5	-100
430	0	-118.75
430	0	-68.75
297.1875	-100	-100
84.6875	-100	-100
222.1875	-100	-118.75
209.6875	-100	-68.75
5	-37.5	-100
5	62.5	-100
14.375	0	-118.75
-10.625	0	-68.75
-7.5	12.5	-75
-7.5	62.5	-75
1.875	50	-93.75
-10.625	50	-68.75
17.5	12.5	-125
17.5	62.5	-125
26.875	50	-143.75
14.375	50	-118.75
17.5	-87.5	-125
17.5	-37.5	-125
26.875	-50	-143.75
14.375	-50	-118.75
183.90625	-100	-75
74.53125	-100	-75
108.90625	-100	-93.75
99.53125	-100	-68.75
197.96875	-100	-125
94.84375	-100	-125
127.65625	-100	-143.75
118.28125	-100	-118.75
404.21875	-100	-125
301.09375	-100	-125
329.21875	-100	-143.75
326.09375	-100	-118.75
430	-12.5	-75
430	-62.5	-75
430	-50	-93.75
430	-50	-68.75
430	-12.5	-125
430	-62.5	-125
430	-50	-143.75
430	-50	-118.75
430	87.5	-125
430	37.5	-125
430	50	-143.75
430	50	-118.75
238.59375	100	-75
347.96875	100	-75
322.96875	100	-93.75
319.84375	100	-68.75
249.53125	100	-125
352.65625	100	-125
329.21875	100	-143.75
326.09375	100	-118.75
43.28125	100	-125
146.40625	100	-125
127.65625	100	-143.75
118.28125	100	-118.75
330	-12.5	-150
